City,Population,Country,Coordinates
Slough,119070,United Kingdom,Point(-0.593055555 51.509722222)
Dabgram,119040,India,
Darjeeling,118805,India,Point(88.263055555 27.041666666)
Sopore,118608,India,Point(74.47 34.3)
Blackburn,117963,United Kingdom,Point(-2.4769 53.7449)
Titagarh,116541,India,Point(88.37 22.74)
Cheltenham,116447,United Kingdom,Point(-2.078427777 51.896519444)
Chelmsford,115369,United Kingdom,Point(0.4798 51.7361)
Dum Dum,114786,India,Point(88.42 22.62)
Bally,113377,India,Point(88.348055555 22.629444444)
Osmanabad,112085,India,Point(76.05 18.166666666)
Champdani,111251,India,Point(88.37 22.8)
Rotherham,109691,United Kingdom,Point(-1.357222222 53.43)
Worthing,109120,United Kingdom,Point(-0.371386111 50.814711111)
Bangaon,108864,India,Point(88.82 23.07)
Khardaha,108496,India,Point(88.38 22.72)
Greater Noida,107676,India,Point(77.536011111 28.496152777)
Basingstoke,107355,United Kingdom,Point(-1.0876 51.2667)
Jalpaiguri,107341,India,Point(88.733333333 26.516666666)
Crawley,106597,United Kingdom,Point(-0.1937 51.1157)
Bansberia,103920,India,Point(88.4 22.97)
Salford,103886,United Kingdom,Point(-2.293055555 53.482777777)
Nagapattinam,102905,India,Point(79.833333333 10.766666666)
St Helens,102629,United Kingdom,Point(-2.7461 53.4541)
Worcester,101891,United Kingdom,Point(-2.222222222 52.191111111)
Eastbourne,101547,United Kingdom,Point(0.286111 50.766389)
Bhadreswar,101477,India,Point(88.35 22.82)
Kalyani,100575,India,Point(88.434444444 22.975)
Gangtok,100286,India,Point(88.62 27.33)
Lincoln,100160,United Kingdom,Point(-0.55 53.25)
